,Brand,Name,Type,ID,Time of Extraction,PageTitle,PageUrl,Price,Composition
0,American Apparel,50/50 Classic Crewneck T-Shirt,top,bb301w,07/29/2020 19:30:25,50/50 Classic Crewneck T-Shirt | American Apparel,https://americanapparel.com/50-50-classic-crewneck-t-shirt/,n/a,50% cotton / 50% polyester
1,American Apparel,50/50 Classic Ringer T-Shirt,top,bb310w,07/29/2020 19:30:31,50/50 Classic Ringer T-Shirt | American Apparel,https://americanapparel.com/50-50-classic-ringer-t-shirt/,n/a,50% cotton / 50% polyester
2,American Apparel,Basic Knit V Sweater,outterwear/jacket,kwc7dvw,07/29/2020 19:30:38,Basic Knit V Sweater | American Apparel,https://americanapparel.com/basic-knit-v-sweater/,n/a,"a timeless classic, our 100% cotton sweater fabric is essential for layering."
3,American Apparel,Cotton 2x2 Long Sleeve Crewneck Dress,dress,ctw3585w,07/29/2020 19:30:45,Cotton 2x2 Long Sleeve Crewneck Dress | American Apparel,https://americanapparel.com/cotton-2x2-long-sleeve-crewneck-dress/,n/a,95% cotton / 5% spandex
4,American Apparel,Cotton 2x2 U Back Bodysuit,bodysuit/romper,ctw3220w,07/29/2020 19:30:51,Cotton 2x2 U Back Bodysuit | American Apparel,https://americanapparel.com/cotton-2x2-u-back-bodysuit/,n/a,95% cotton / 5% spandex
5,American Apparel,Cotton Spandex Cross V Bodysuit,bodysuit/romper,rsa8328w,07/29/2020 19:30:57,Cotton Spandex Cross V Bodysuit | American Apparel,https://americanapparel.com/cotton-spandex-cross-v-bodysuit/,n/a,92% cotton / 8% spandex
6,American Apparel,Cotton Spandex Deep Cut Bodysuit,bodysuit/romper,rsa83222w,07/29/2020 19:31:04,Cotton Spandex Deep Cut Bodysuit | American Apparel,https://americanapparel.com/cotton-spandex-deep-cut-bodysuit/,n/a,92% cotton / 8% spandex
7,American Apparel,Cotton Spandex Halter Bodysuit,bodysuit/romper,rsa8312w,07/29/2020 19:31:10,Cotton Spandex Halter Bodysuit | American Apparel,https://americanapparel.com/cotton-spandex-halter-bodysuit/,n/a,92% cotton / 8% spandex
8,American Apparel,Cotton Spandex Jersey High-Waist Leggings,bottoms,rsa8349w,07/29/2020 19:31:17,Cotton Spandex Jersey High-Waist Leggings | American Apparel,https://americanapparel.com/cotton-spandex-jersey-high-waist-leggings/,n/a,92% cotton / 8% spandex
9,American Apparel,Cotton Spandex Jersey High-Waist Leggings,bottoms,rsa8349w,07/29/2020 19:31:24,Cotton Spandex Jersey High-Waist Leggings | American Apparel,https://americanapparel.com/cotton-spandex-jersey-high-waist-leggings/?&defaultImageAlt=Cotton%20Spandex%20Jersey%20High-Waist%20Leggings%20(Heather%20Grey),n/a,92% cotton / 8% spandex
10,American Apparel,Cotton Spandex Jersey Legging,bottoms,8328w,07/29/2020 19:31:31,Cotton Spandex Jersey Legging | American Apparel,https://americanapparel.com/cotton-spandex-jersey-legging/,n/a,92% cotton / 8% spandex
11,American Apparel,Cotton Spandex Jersey Legging,bottoms,8328w,07/29/2020 19:31:38,Cotton Spandex Jersey Legging | American Apparel,https://americanapparel.com/cotton-spandex-jersey-legging/?&defaultImageAlt=Cotton%20Spandex%20Jersey%20Legging%20(Asphalt),n/a,92% cotton / 8% spandex
12,American Apparel,Cotton Spandex Jersey Legging,bottoms,8328w,07/29/2020 19:31:45,Cotton Spandex Jersey Legging | American Apparel,https://americanapparel.com/cotton-spandex-jersey-legging/?&defaultImageAlt=Cotton%20Spandex%20Jersey%20Legging%20(Forest),n/a,92% cotton / 8% spandex
13,American Apparel,Cotton Spandex Long Sleeve Bodysuit,bodysuit/romper,rsa83116w,07/29/2020 19:31:51,Cotton Spandex Long Sleeve Bodysuit | American Apparel,https://americanapparel.com/cotton-spandex-long-sleeve-bodysuit/,n/a,92% cotton / 8% spandex
14,American Apparel,Cotton Spandex Long Sleeve Scoop Back Bodysuit,bodysuit/romper,rsa8357w,07/29/2020 19:31:58,Cotton Spandex Long Sleeve Scoop Back Bodysuit | American Apparel,https://americanapparel.com/cotton-spandex-long-sleeve-scoop-back-bodysuit/,n/a,92% cotton / 8% spandex
15,American Apparel,Cotton Spandex Short Sleeve Scoop Back Bodysuit,bottoms,8373w,07/29/2020 19:32:04,Cotton Spandex Short Sleeve Scoop Back Bodysuit | American Apparel,https://americanapparel.com/cotton-spandex-short-sleeve-scoop-back-bodysuit/,n/a,92% cotton / 8% spandex
16,American Apparel,Cotton Spandex Sleeveless Bodysuit,bodysuit/romper,rsa8382w,07/29/2020 19:32:10,Cotton Spandex Sleeveless Bodysuit | American Apparel,https://americanapparel.com/cotton-spandex-sleeveless-bodysuit/,n/a,92% cotton / 8% spandex
17,American Apparel,Cotton Spandex Tank Bodysuit,bodysuit/romper,rsa8336w,07/29/2020 19:32:17,Cotton Spandex Tank Bodysuit | American Apparel,https://americanapparel.com/cotton-spandex-tank-bodysuit/,n/a,92% cotton / 8% spandex
18,American Apparel,Cotton Spandex Turtleneck Bodysuit,bodysuit/romper,rsa83394w,07/29/2020 19:32:24,Cotton Spandex Turtleneck Bodysuit | American Apparel,https://americanapparel.com/cotton-spandex-turtleneck-bodysuit/,n/a,92% cotton / 8% spandex
19,American Apparel,Crop Wide Leg Jean,bottoms,dm3627w,07/29/2020 19:32:30,Crop Wide Leg Jean | American Apparel,https://americanapparel.com/crop-wide-leg-jean/,n/a,100% cotton
